Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
Dell,Core i7-1185G7,32 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch Full HD,63 Wh Lithium-Ion,Old,12.500.000
Dell,Core i5-1145G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,4 Cell 63Whr,Old,10.600.000
Dell,Core i5-1145G7,16 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,4 Cell 63Whr,Old,11.000.000
HP,Core i5-1145G7,16 GB,SSD 256GB,Intel Iris Xe Graphics,14 inch Full HD,"3-cell, 53 Wh Li-ion",Old,10.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,18.900.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,20.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,22.000.000
Dell,Core i5-12500H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050Ti 4GB,15.6 inch Full HD,"3-cell, 56WHz",Old,22.500.000
Dell,Core i7-12650H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,23.500.000
Dell,Core i7-12700H,16 GB,SSD 512GB,Nvidia GeForce RTX 3060 6GB,15.6 inch Full HD,"3-cell, 56WHz",Old,24.000.000
Dell,AMD Ryzen 5-3500U,8 GB,SSD 480GB,AMD Radeon Vega 8,14 inch Full HD,3 cell – 45Whr,Old,13.500.000
Dell,AMD Ryzen 5-3500U,16 GB,SSD 480GB,AMD Radeon Vega 8,14 inch Full HD,3 cell – 45Whr,Old,14.500.000
Dell,Core i5-1135G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,13.3 inch Full HD,52Wh,Old,13.500.000
Dell,Core i5-1035G1,8 GB,SSD 256GB,Intel Iris Plus Graphics,13.4 inch FHD+,"4-Cell, 52WHr",Old,14.500.000
Lenovo,Core i5-10210U,16 GB,SSD 256GB,Intel UHD Graphics,14 inch Full HD,4 Cell 51Wh,Old,14.500.000
Lenovo,Core i7-10510U,16 GB,SSD 512GB,Intel UHD Graphics,14 inch WQHD,4 Cell 51Wh,Old,16.500.000
Dell,Core i7-10850H,8 GB,SSD 512GB,Intel HD Graphics,15.6 inch Full HD,4 Cell 68Whr,Old,15.600.000
Dell,Core i7-10850H,16 GB,SSD 512GB,Intel HD Graphics,15.6 inch Full HD,4 Cell 68Whr,Old,16.500.000
Dell,Core i7-10850H,16 GB,SSD 1TB,Intel HD Graphics,15.6 inch Full HD,4 Cell 68Whr,Old,17.900.000
Dell,Core i7-10850H,8 GB,SSD 1TB,Intel HD Graphics,15.6 inch Full HD,4 Cell 68Whr,Old,17.900.000
Lenovo,Core i5-1135G7,12 GB,SSD 512GB,Intel Iris Xe Graphics,14 inch Full HD c?m ?ng,71Wh,Old,17.900.000
Lenovo,Core i7-9750H,16 GB,SSD 512GB,Nvidia Quadro T1000 4GB,15.6 inch Full HD,4 Cell 80 Whrs,Old,17.900.000
Lenovo,Core i5-1035G4,8 GB,SSD 256GB,Intel Iris Plus Graphics,14 inch Full HD,4Cell/60Whs,Old,20.900.000
Lenovo,Core i5-10210U,8 GB,SSD 256GB,Intel UHD Graphics,14 inch Full HD,51Whr,Old,21.500.000
Lenovo,Core i5-10210U,8 GB,SSD 512GB,Intel UHD Graphics,13.3 inch Full HD,"6 Cell, 48WH",Old,23.500.000
Lenovo,Core i7-10510U,8 GB,SSD 256GB,Intel HD Graphics 620,15.6 inch Full HD,3 Cell 57 MHz,Old,24.500.000
HP,Core i7-10710U,16 GB,SSD 1TB,Intel UHD Graphics,13.3 Inch Full HD ca?m ??ng,"4-cell, 54 Wh",Old,28.900.000
HP,Core i7-10610U,16 GB,SSD 512GB,Intel UHD Graphics 630,14 inch Full HD,"4-cell, 78.5 Wh",Old,29.500.000
Dell,Core i5-6200U,8 GB,SSD 240GB,Intel HD Graphics 520,12.5 inch HD,4 Cell,Old,4.400.000
Dell,Core i5-6200U,8 GB,SSD 240GB,Intel HD Graphics 520,12.5 inch Full HD,4 Cell,Old,4.700.000
Dell,Core i5-6300U,8 GB,SSD 256GB,Intel HD Graphics,14 inch HD,4 Cell,Old,4.400.000
Dell,Core i5-6300U,8 GB,SSD 256GB,Intel HD Graphics,14 inch Full HD,4 Cell,Old,4.700.000
Dell,Core i5-6300U,8 GB,SSD 256GB,NVIDIA GeForce 930MX 2GB,14 inch HD,4 Cell,Old,4.900.000
Dell,Core i5-7200U,8 GB,SSD 256GB,Intel HD Graphics,14 inch Full HD,4 Cell,Old,5.200.000
Dell,Core i5-6300U,8 GB,SSD 256GB,Intel HD Graphics 520,14 inch HD,4 Cell,Old,4.300.000
